Date,Adj Close,Close,High,Low,Open,Volume
04/01/16,7791.299805,7791.299805,7937.549805,7781.100098,7924.549805,134700
05/01/16,7784.649902,7784.649902,7831.200195,7763.25,7828.399902,145200
06/01/16,7741,7741,7800.950195,7721.200195,7788.049805,147100
07/01/16,7568.299805,7568.299805,7674.950195,7556.600098,7673.350098,188900
08/01/16,7601.350098,7601.350098,7634.100098,7581.049805,7611.649902,157400
11/01/16,7563.850098,7563.850098,7605.100098,7494.350098,7527.450195,189000
12/01/16,7510.299805,7510.299805,7588.299805,7487.799805,7587.200195,163900
13/01/16,7562.399902,7562.399902,7590.950195,7425.799805,7557.899902,215200
14/01/16,7536.799805,7536.799805,7604.799805,7443.799805,7467.399902,200800
15/01/16,7437.799805,7437.799805,7566.5,7427.299805,7561.649902,197500
18/01/16,7351,7351,7463.649902,7336.399902,7420.350098,233600
19/01/16,7435.100098,7435.100098,7462.75,7364.149902,7381.799805,188300
20/01/16,7309.299805,7309.299805,7470.899902,7241.5,7357,225600
21/01/16,7276.799805,7276.799805,7398.700195,7250,7376.649902,240700
22/01/16,7422.450195,7422.450195,7433.399902,7327.600098,7355.700195,229200
25/01/16,7436.149902,7436.149902,7487.149902,7421.200195,7468.75,163200
27/01/16,7437.75,7437.75,7477.899902,7419.700195,7469.600098,187600
28/01/16,7424.649902,7424.649902,7468.850098,7409.600098,7426.5,274500
29/01/16,7563.549805,7563.549805,7575.649902,7402.799805,7413.350098,298700
01/02/16,7555.950195,7555.950195,7600.450195,7541.25,7589.5,200400
02/02/16,7455.549805,7455.549805,7576.299805,7428.049805,7566.649902,230200
03/02/16,7361.799805,7361.799805,7419.399902,7350.299805,7392.450195,192000
04/02/16,7404,7404,7457.049805,7365.950195,7411.450195,222700
05/02/16,7489.100098,7489.100098,7503.149902,7406.649902,7418.25,249800
08/02/16,7387.25,7387.25,7512.549805,7363.200195,7489.700195,171500
09/02/16,7298.200195,7298.200195,7323.450195,7275.149902,7303.950195,212100
10/02/16,7215.700195,7215.700195,7271.850098,7177.75,7264.299805,246900
11/02/16,6976.350098,6976.350098,7208.649902,6959.950195,7203.600098,292300
