Date,Index_name,Security Symbol,ff_mcap,Beta,Volatility
2016-03-31,Nifty 50,ACC,13003.1,0.8406073120113223,0.2381625766787625
2016-03-31,Nifty 50,INFY,243457.99,0.8183925775913595,0.2744749639157882
2016-03-31,Nifty 50,KOTAKBANK,69877.08,1.0945239204742434,0.2740232719363544
2016-03-31,Nifty 50,LT,99713.71,1.1931472318975571,0.28503750866437955
2016-03-31,Nifty 50,LUPIN,35321.94,0.7348664058639595,0.3442070962901298
2016-03-31,Nifty 50,M&M,55644.78,0.985872841983308,0.2862440362439362
2016-03-31,Nifty 50,MARUTI,49395.29,0.8562182094335079,0.26715905038720944
2016-03-31,Nifty 50,NTPC,31872.84,0.8627685983546431,0.2656682894057563
2016-03-31,Nifty 50,ONGC,38466.34,1.1651148687708377,0.34599474601664504
2016-03-31,Nifty 50,POWERGRID,30563.99,0.6033324892673467,0.22307054909198487
2016-03-31,Nifty 50,RELIANCE,172689.78,1.141515168849462,0.28418479892598997
2016-03-31,Nifty 50,INDUSINDBK,47185.87,1.0948137640862705,0.2625319498481689
2016-03-31,Nifty 50,SBIN,60316.78,1.4725769668240458,0.36622281073052226
2016-03-31,Nifty 50,TCS,134083.88,0.608712929858557,0.20142476819390243
2016-03-31,Nifty 50,TATAPOWER,11715.24,1.0862949742701509,0.30347698375439097
2016-03-31,Nifty 50,TATASTEEL,21424.33,1.61232333061571,0.4470579771171202
2016-03-31,Nifty 50,TECHM,29403.29,0.6488291813765688,0.31310904397340145
2016-03-31,Nifty 50,ULTRACEMCO,32784.07,1.0090483716406322,0.26893801106423415
2016-03-31,Nifty 50,VEDL,9855.98,2.1800209745221757,0.5924174861050909
2016-03-31,Nifty 50,WIPRO,36244.48,0.6015710346030001,0.21439785605238842
2016-03-31,Nifty 50,YESBANK,28335.18,1.543005374247832,0.37063348018122194
2016-03-31,Nifty 50,ZEEL,21183.8,1.1174873917692614,0.3086287222091782
2016-03-31,Nifty 50,SUNPHARMA,88805.98,0.9188150781787867,0.3619892048411854
2016-03-31,Nifty 50,IDEA,12299.74,0.6276633744717436,0.3398009365304572
2016-03-31,Nifty 50,PNB,6320.03,1.4691454445710581,0.40759007589947566
2016-03-31,Nifty 50,ITC,184699.08,0.8282742342781222,0.25936166178974634
2016-03-31,Nifty 50,ICICIBANK,137565.96,1.487216948288672,0.34447177230281173
2016-03-31,Nifty 50,AMBUJACEM,18044.69,1.0105983173385569,0.2765412215539796
2016-03-31,Nifty 50,ASIANPAINT,39149.47,0.8568945882081404,0.2743021280311009
2016-03-31,Nifty 50,AXISBANK,74011.69,1.4142827307101484,0.3452997929665073
2016-03-31,Nifty 50,BAJAJ-AUTO,33417.72,0.9028813940536445,0.2872932929360534
2016-03-31,Nifty 50,BANKBARODA,13887.17,1.589752188303314,0.5065714340918499
2016-03-31,Nifty 50,BHEL,10310.39,1.2638079235658504,0.3954308844509702
2016-03-31,Nifty 50,BPCL,23539.86,0.8506049298725705,0.32088920545399113
2016-03-31,Nifty 50,BHARTIARTL,47677.79,0.6414617238684135,0.26964922411702025
2016-03-31,Nifty 50,BOSCHLTD,18925.7,0.9855391103047492,0.30343706114549596
2016-03-31,Nifty 50,ADANIPORTS,22570.89,1.3572430947300675,0.38348983144605997
2016-03-31,Nifty 50,COALINDIA,36881.25,0.8668485055932528,0.30523077406406895
2016-03-31,Nifty 50,CIPLA,25911.11,0.9672656640642909,0.2813441949164356
2016-03-31,Nifty 50,HINDUNILVR,62089.03,0.580706634129426,0.23474596693803415
2016-03-31,Nifty 50,HINDALCO,11260.16,1.621571610141459,0.4402914423223111
2016-03-31,Nifty 50,HEROMOTOCO,37057.83,0.8656082130775151,0.26030616219411096
2016-03-31,Nifty 50,HDFCBANK,211054.32,0.8025237401423416,0.17451190569422717
2016-03-31,Nifty 50,GRASIM,24755.91,0.7451671807745722,0.19335550624745232
2016-03-31,Nifty 50,GAIL,16727.16,1.1786126463446556,0.3556056413235837
2016-03-31,Nifty 50,DRREDDY,38319.3,0.7851931472379854,0.3328544774588391
2016-03-31,Nifty 50,HCLTECH,45910.23,0.8057122032910392,0.3022440530721894
2016-09-30,Nifty 50,ONGC,46111.1,1.1033422078171613,0.30261260865336104
2016-09-30,Nifty 50,INDUSINDBK,59208.07,0.9416947628815766,0.21363672948387902
2016-09-30,Nifty 50,INFY,207038.21,0.8866046835049266,0.24427739241148738
2016-09-30,Nifty 50,KOTAKBANK,89873.93,0.9179746952263057,0.21056493314739766
2016-09-30,Nifty 50,LT,117537.79,1.4293239143176855,0.30789396987997775
2016-09-30,Nifty 50,LUPIN,35524.34,0.7325198156732579,0.31282531308752815
2016-09-30,Nifty 50,M&M,65480.22,0.8806827134444478,0.2452907128880401
2016-09-30,Nifty 50,IDEA,9969.13,0.7667434371008632,0.3862803631666276
2016-09-30,Nifty 50,MARUTI,72801.66,1.0177691775203224,0.27249177553288073
2016-09-30,Nifty 50,NTPC,36609.86,0.8834007518659692,0.24783774348618148
2016-09-30,Nifty 50,POWERGRID,38792.76,0.7249307377192421,0.22072451554250155
2016-09-30,Nifty 50,SBIN,78015.91,1.6352006246053357,0.36676553644467474
2016-09-30,Nifty 50,SUNPHARMA,80437.33,0.7761684196314347,0.2626290920292372
2016-09-30,Nifty 50,TCS,129322.34,0.7171888918334646,0.21695214112250844
2016-09-30,Nifty 50,TATAPOWER,13663.25,0.9741825597836891,0.26355083735918466
2016-09-30,Nifty 50,TATASTEEL,25079.94,1.6083823864069529,0.4018921718848392
