Date,Close,High,Low,Open,Volume
2015-01-01,362.7237243652344,365.3500810636662,360.81364676637486,364.156282564379,269753
2015-01-02,365.5888671875,371.0326003958994,362.72375058212623,362.72375058212623,623981
2015-01-05,368.5494689941406,372.0831242305773,365.58884286975734,366.7349010938642,551576
2015-01-06,355.9430236816406,366.1619228260992,352.6003874002291,365.01589358832905,519159
2015-01-07,357.757568359375,360.43166555085133,353.3643837058294,356.13399061388856,397373
2015-01-08,356.1339416503906,362.914722558874,352.1705366936442,362.914722558874,672501
2015-01-09,356.1339416503906,359.95409662469456,352.7913060478747,359.0945675845701,985975
2015-01-12,359.858642578125,361.4822203514996,353.9374189394403,356.4682661722516,344364
2015-01-13,355.4654541015625,366.7349003177206,354.12837646111046,358.9513399030924,715002
2015-01-14,354.8924560546875,360.0019199265888,352.40934912067735,356.2772449528367,404068
2015-01-15,358.99908447265625,361.9597106261332,353.077861311174,356.8980165684419,648144
2015-01-16,369.7910461425781,376.28529851975566,360.0018981480921,362.91475491753084,1387070
2015-01-19,376.7628479003906,377.7178868050811,371.7011533637209,371.7011533637209,913385
2015-01-20,375.90325927734375,380.9649530136572,372.8948930323473,379.1503852107601,603286
2015-01-21,388.653076171875,390.1811150332135,372.89493496416935,376.85834040852797,1885665
2015-01-22,381.77685546875,390.8019860367092,375.4258516946757,388.70088849476235,785747
2015-01-23,380.9172668457031,387.2205293444973,376.28532240326865,385.0239224117117,709214
2015-01-27,382.6362609863281,388.7007627452308,375.5689802200541,381.0604529124007,1306898
2015-01-28,413.7705993652344,418.1160146594091,385.83571181432126,390.99291599462583,6282139
2015-01-29,421.9361877441406,424.03728504896975,406.5123148490445,408.56564272007404,3488597
2015-01-30,411.2397155761719,422.938940946357,409.4728879564782,422.0794118502948,970722
2015-02-02,413.7228088378906,418.11596388491836,408.1358261770762,410.66667310081266,1106879
2015-02-03,412.86328125,428.2394124915901,411.1919632703809,416.30142692288234,2245302
2015-02-04,410.7144775390625,423.989541896814,407.8016204795415,414.96441240833906,1392064
2015-02-05,399.0152282714844,412.481282169053,394.7653227868032,412.481282169053,1040089
2015-02-06,397.9646911621094,407.8015794292634,390.70639024247066,406.7510308896955,1116247
2015-02-09,393.71478271484375,402.64440217252263,390.70641603805194,390.70641603805194,813004
2015-02-10,406.08251953125,411.23972335059057,391.3748983285951,391.4226677570675,1092699
2015-02-11,407.0853271484375,414.24811882846865,404.0769604719192,409.0431452161231,1113419
2015-02-12,406.6077575683594,414.3913177385187,404.4589203293017,409.7116335803316,1131467
2015-02-13,407.5151062011719,412.57680066221786,404.60222009810104,408.2791256553197,935029
2015-02-16,398.7287292480469,412.9588026184633,396.2933917814877,412.9588026184633,842771
2015-02-18,410.427978515625,413.0543355625545,397.58269330063416,400.3045600692743,1093702
2015-02-19,413.29302978515625,422.795677252385,411.4306925161511,415.29861704128405,1517003
2015-02-20,415.77618408203125,419.2620701804045,403.5039285904805,414.4868757592154,1033950
2015-02-23,400.8775939941406,415.77620724743724,399.20627585360523,415.7284378132796,1004925
2015-02-24,403.4561462402344,407.27630137889736,399.2062119902835,402.31008804044717,748836
2015-02-25,403.2651672363281,408.75664079845694,399.6837714349398,405.3184950000294,788068
2015-02-26,404.5544738769531,406.8465613512457,397.3916823038678,404.84097388168715,726024
2015-02-27,415.77618408203125,417.11323269086944,402.35787027120557,405.98703551859353,826541
2015-03-02,393.95355224609375,401.83262329101564,389.7991271387673,401.78488300347874,1124323
2015-03-03,397.20068359375,402.83540742946576,391.99573893303193,394.049066795351,719506
2015-03-04,392.90301513671875,405.6050505599431,391.0884469749654,405.6050505599431,655400
2015-03-05,387.50701904296875,396.9618979668634,382.3020455763157,393.47601194258317,959120
2015-03-09,381.72906494140625,387.45929841576026,377.43138983564074,385.83572060650346,648441
2015-03-10,387.1727600097656,388.9873280708875,381.7290558264,384.30764334100246,657218
2015-03-11,381.872314453125,390.32441464591295,380.1054866383993,390.32441464591295,410728
2015-03-12,386.4087219238281,388.41430932434855,382.2542971253513,383.4480956797715,349974
2015-03-13,380.82171630859375,389.2260459758365,379.3414178469618,387.74574751420454,428548
2015-03-16,379.72344970703125,382.01553710054,374.08872636389276,381.8245176738007,399268
2015-03-17,386.2654724121094,387.5070112520786,378.00436308875544,381.06049905010315,562431
2015-03-18,383.734619140625,388.65309280198676,382.01556077532575,388.65309280198676,309016
2015-03-19,386.5997314453125,396.0546397832447,382.2065758627882,385.7879717042856,1023111
2015-03-20,375.0438232421875,389.4648886829191,373.22922584378506,387.36382039102324,461698
2015-03-23,373.27691650390625,378.76838954057035,367.68993375924947,376.76280225460755,498876
2015-03-24,369.8388366699219,378.1954275565889,368.2152587823219,373.46797305394114,408226
2015-03-25,372.89495849609375,376.23759472079,367.68998471659097,370.65061120184555,636108
2015-03-26,372.2263488769531,375.99876355775524,367.6899148624168,372.46510856192873,1419196
2015-03-27,375.18701171875,377.8133685119193,367.6899510436996,372.13087579214596,670005
2015-03-30,373.7544860839844,379.58022930813445,369.7433109734614,377.2403723027503,420532
2015-03-31,373.9931945800781,380.0576967027595,372.9903863670844,375.1869930630677,438421
2015-04-01,372.84716796875,376.5240734369884,369.93431108164367,373.80220683606007,452828
2015-04-06,385.45367431640625,386.217693715675,373.42017933235616,377.24033461964365,904638
2015-04-07,388.31878662109375,392.2344515777021,383.4480828528966,386.313199287663,636179
2015-04-08,389.130615234375,392.9030014386498,386.3132387938812,389.27386524166843,534912
2015-04-09,381.9678039550781,391.56593284591685,380.2487165187147,391.56593284591685,756901
2015-04-10,382.54083251953125,388.2710661110088,381.10827412166185,381.7290727437855,969396
2015-04-13,396.19793701171875,399.636083258453,382.970640964763,382.970640964763,1399618
2015-04-15,392.855224609375,403.59941133911406,387.8412708021634,396.3411104748182,947070
2015-04-16,387.98455810546875,398.7287458683894,378.8161787186815,392.8552623870877,884632
2015-04-17,377.2880859375,389.6081104157169,375.5690276661302,384.8806564512409,603542
2015-04-20,377.1925964355469,385.64466673932276,374.4229605204749,378.1953755458508,934634
2015-04-21,374.614013671875,383.352613897841,371.27137747595003,382.97060416168733,657263
2015-04-22,378.2908935546875,379.62794211290884,371.7011313320108,375.7122770066749,517359
2015-04-23,385.3104553222656,386.45648451337223,374.3752482744275,380.2009913853438,743194
2015-04-24,378.099853515625,387.2682317865209,372.4651304481952,386.7907123885104,738949
2015-04-27,369.1225280761719,380.77401410054324,365.77989198751317,380.77401410054324,947654
2015-04-28,368.7882385253906,372.9904035500052,364.82483320837315,368.6449885299268,612828
2015-04-29,364.68157958984375,371.1280916309202,362.91475194208397,370.45955279810136,866439
2015-04-30,365.5888671875,369.4567920920385,362.86702972877356,363.29677973229565,2267714
2015-05-04,367.9287109375,376.5240604467473,365.0635944344176,367.49893180384873,462963
2015-05-05,367.11688232421875,371.2235663543182,363.15347742012773,368.74045982491583,593407
2015-05-06,366.1618957519531,368.64500263506636,351.4543030303223,365.44561660175543,1719756
2015-05-07,352.9346008300781,368.4539823831409,348.82794536961075,366.6394143691082,1729099
2015-05-08,337.7017517089844,341.6174169218674,319.3172533826612,324.7132171922016,5691342
2015-05-11,351.12005615234375,354.70145213338657,330.6344886280638,336.1737027538867,1343524
2015-05-12,346.4403381347656,352.839110001095,339.9938259847734,352.839110001095,901977
2015-05-13,350.8813171386719,352.40938534323925,341.85621622082624,345.91513190567383,837838
2015-05-14,346.5836181640625,349.54424464451813,343.9095208468299,347.20438763283346,527009
2015-05-15,351.4065246582031,354.31938122844304,346.774580826527,346.774580826527,557137
2015-05-18,361.72100830078125,362.8192972823682,348.6369628109849,351.21557967686414,796620
2015-05-19,362.4849853515625,364.72933248739645,356.802521657953,361.72096592660637,711652
2015-05-20,359.2378845214844,366.54392644244103,358.13959559076767,363.86982912021995,476821
2015-05-21,359.0946044921875,363.8697987008602,355.84747825938456,355.84747825938456,351909
2015-05-22,353.79412841796875,361.4344386732751,352.4093105260062,357.32775442376555,438670
2015-05-25,354.3194580078125,355.75201646336967,348.25495471685844,350.5470424166547,406302
2015-05-26,353.9373779296875,356.80249427157037,350.0217131000202,356.2294651740997,251010
