rebalance_date,k,tracking_error,transaction_cost,net_replication_utility,weights
2024-09-30,1,0.013389717319177614,0.003495806341340887,-0.0168855236605185,"{""RELIANCE"": 1.0}"
2024-09-30,2,0.00906616636071755,0.003132550201578532,-0.012198716562296083,"{""RELIANCE"": 0.4812231748821085, ""ICICIBANK"": 0.5187768251178915}"
2024-09-30,3,0.006146260738173086,0.0024613504886131783,-0.008607611226786265,"{""RELIANCE"": 0.3018246542552568, ""ICICIBANK"": 0.2839304896663047, ""HDFCBANK"": 0.41424485607843864}"
2024-09-30,4,0.005314193434529209,0.0023585823894656946,-0.007672775823994903,"{""RELIANCE"": 0.24975767501576826, ""ICICIBANK"": 0.22015698451547283, ""HDFCBANK"": 0.34730550617054096, ""ULTRACEMCO"": 0.18277983429821804}"
2024-09-30,5,0.005073640727257992,0.0023585823894656938,-0.007432223116723685,"{""RELIANCE"": 0.2320185752555841, ""ICICIBANK"": 0.19611127707479095, ""HDFCBANK"": 0.3105333152522965, ""ULTRACEMCO"": 0.15638167029877098, ""BAJAJFINSV"": 0.1049551621185575}"
2024-09-30,6,0.004827452467332375,0.0022325160958323537,-0.007059968563164729,"{""RELIANCE"": 0.21269607576232888, ""ICICIBANK"": 0.17548936772146692, ""HDFCBANK"": 0.2979497174877893, ""ULTRACEMCO"": 0.1288441772876419, ""BAJAJFINSV"": 0.08738243718061241, ""JSWSTEEL"": 0.09763822456016062}"
2024-09-30,7,0.004419978918053858,0.0019210299479755428,-0.006341008866029401,"{""RELIANCE"": 0.19800907961288292, ""ICICIBANK"": 0.145315634132297, ""HDFCBANK"": 0.26264677959634514, ""ULTRACEMCO"": 0.0974462962751663, ""BAJAJFINSV"": 0.07429294675536943, ""JSWSTEEL"": 0.0832034789813644, ""LT"": 0.1390857846465749}"
2024-09-30,8,0.004406142220610312,0.0019210299479755428,-0.006327172168585855,"{""RELIANCE"": 0.2000837010950779, ""ICICIBANK"": 0.13757338403372157, ""HDFCBANK"": 0.246788274314519, ""ULTRACEMCO"": 0.09593436139586871, ""BAJAJFINSV"": 0.06352414724625628, ""JSWSTEEL"": 0.07992626402749255, ""LT"": 0.13057598517917524, ""INDUSINDBK"": 0.045593882707888785}"
2024-09-30,9,0.004372637862552798,0.001921029947975543,-0.006293667810528341,"{""RELIANCE"": 0.19734337864764112, ""ICICIBANK"": 0.11458300252670639, ""HDFCBANK"": 0.24421450636939004, ""ULTRACEMCO"": 0.09436178351440966, ""BAJAJFINSV"": 0.05934917629978695, ""JSWSTEEL"": 0.07757982286179585, ""LT"": 0.12506858020073744, ""INDUSINDBK"": 0.03814725933245453, ""AXISBANK"": 0.049352490247077996}"
2024-09-30,10,0.004325899337931715,0.0017082034302178199,-0.006034102768149535,"{""RELIANCE"": 0.19369276902311933, ""ICICIBANK"": 0.09071744268522683, ""HDFCBANK"": 0.24517974331500342, ""ULTRACEMCO"": 0.08927456151286267, ""BAJAJFINSV"": 0.05738596508693151, ""JSWSTEEL"": 0.07479714257218804, ""LT"": 0.11611521393660965, ""INDUSINDBK"": 0.036356295693284364, ""AXISBANK"": 0.04296040456823763, ""SBIN"": 0.05352046160653651}"
