rebalance_date,k,tracking_error,transaction_cost,net_replication_utility,weights
2024-03-31,1,0.01358040150988444,0.0033986546940483323,-0.016979056203932773,"{""RELIANCE"": 1.0}"
2024-03-31,2,0.007270357250658635,0.0027310043286678395,-0.010001361579326474,"{""RELIANCE"": 0.37372829558780624, ""HDFCBANK"": 0.6262717044121937}"
2024-03-31,3,0.0061995811480853365,0.002334346670269482,-0.008533927818354818,"{""RELIANCE"": 0.29481601902039223, ""HDFCBANK"": 0.4217509934382491, ""ICICIBANK"": 0.2834329875413586}"
2024-03-31,4,0.005775304857496238,0.002005890189715522,-0.00778119504721176,"{""RELIANCE"": 0.26859032028834007, ""HDFCBANK"": 0.3218588956703541, ""ICICIBANK"": 0.2536037357358391, ""KOTAKBANK"": 0.15594704830546666}"
2024-03-31,5,0.005280735264446985,0.0020058901897155217,-0.007286625454162507,"{""RELIANCE"": 0.230865286192644, ""HDFCBANK"": 0.29470552851237164, ""ICICIBANK"": 0.20905490734791538, ""KOTAKBANK"": 0.1341034973362225, ""JSWSTEEL"": 0.13127078061084638}"
2024-03-31,6,0.004842183565374339,0.001715667574379836,-0.006557851139754175,"{""RELIANCE"": 0.21068282875960073, ""HDFCBANK"": 0.25974783389665246, ""ICICIBANK"": 0.1866394358809439, ""KOTAKBANK"": 0.12013037156096076, ""JSWSTEEL"": 0.0949448024821718, ""GRASIM"": 0.1278547274196703}"
2024-03-31,7,0.004182025216574965,0.0017156675743798362,-0.005897692790954801,"{""RELIANCE"": 0.18359081784503775, ""HDFCBANK"": 0.23435694337488125, ""ICICIBANK"": 0.17220805904834008, ""KOTAKBANK"": 0.09875151723073525, ""JSWSTEEL"": 0.0861889764645112, ""GRASIM"": 0.10700425633930064, ""HINDUNILVR"": 0.11789942969719389}"
2024-03-31,8,0.004047245786485316,0.001715667574379836,-0.005762913360865152,"{""RELIANCE"": 0.17707927312986052, ""HDFCBANK"": 0.2285285050491098, ""ICICIBANK"": 0.1606311924005975, ""KOTAKBANK"": 0.09413149501853053, ""JSWSTEEL"": 0.07996693200480805, ""GRASIM"": 0.07717284932679948, ""HINDUNILVR"": 0.10836169543546714, ""ULTRACEMCO"": 0.07412805763482697}"
2024-03-31,9,0.003965338050180472,0.0017258377305443388,-0.005691175780724811,"{""RELIANCE"": 0.17132358494558592, ""HDFCBANK"": 0.226087474451063, ""ICICIBANK"": 0.15328932977971435, ""KOTAKBANK"": 0.09743201269168188, ""JSWSTEEL"": 0.04181544404888, ""GRASIM"": 0.0700131147927957, ""HINDUNILVR"": 0.1111278578750461, ""ULTRACEMCO"": 0.06926721466375146, ""TATASTEEL"": 0.05964396675148154}"
2024-03-31,10,0.0038606432076128336,0.0015429169243546593,-0.0054035601319674924,"{""RELIANCE"": 0.16694321412187768, ""HDFCBANK"": 0.22271029923784325, ""ICICIBANK"": 0.11765851280767228, ""KOTAKBANK"": 0.09640001217681847, ""JSWSTEEL"": 0.04297989209223551, ""GRASIM"": 0.060665910376591345, ""HINDUNILVR"": 0.11166649381553274, ""ULTRACEMCO"": 0.0644857497797777, ""TATASTEEL"": 0.05107642808838892, ""SBIN"": 0.06541348750326216}"
2024-03-31,11,0.003721756466742436,0.0015728305712850354,-0.005294587038027472,"{""RELIANCE"": 0.16123718417805502, ""HDFCBANK"": 0.21413758870204497, ""ICICIBANK"": 0.11213901441486228, ""KOTAKBANK"": 0.0926176741279506, ""JSWSTEEL"": 0.03896937528527021, ""GRASIM"": 0.05318749864399732, ""HINDUNILVR"": 0.10214383416094118, ""ULTRACEMCO"": 0.062036954047389514, ""TATASTEEL"": 0.04883603387151606, ""SBIN"": 0.0643542671313282, ""TITAN"": 0.050340575436644684}"
2024-03-31,12,0.003198060140048837,0.0014711993672514765,-0.004669259507300313,"{""RELIANCE"": 0.1450380934414629, ""HDFCBANK"": 0.19224648861846239, ""ICICIBANK"": 0.10494954088333452, ""KOTAKBANK"": 0.09027171529321379, ""JSWSTEEL"": 0.033212424424719465, ""GRASIM"": 0.04899466745369303, ""HINDUNILVR"": 0.08397005038010673, ""ULTRACEMCO"": 0.049289368869404354, ""TATASTEEL"": 0.04128528162520268, ""SBIN"": 0.0626362962283775, ""TITAN"": 0.04407557000304623, ""WIPRO"": 0.10403050277897644}"
2024-03-31,13,0.0030962924001763786,0.0015025411306222713,-0.00459883353079865,"{""RELIANCE"": 0.13964313133823547, ""HDFCBANK"": 0.19018759892380166, ""ICICIBANK"": 0.10293947833565174, ""KOTAKBANK"": 0.08453309213363862, ""JSWSTEEL"": 0.031371686035838245, ""GRASIM"": 0.046554188714221706, ""HINDUNILVR"": 0.07064632513463008, ""ULTRACEMCO"": 0.038519962013486814, ""TATASTEEL"": 0.04232421570380006, ""SBIN"": 0.06297985355968723, ""TITAN"": 0.03844281530187287, ""WIPRO"": 0.10172130265477654, ""ASIANPAINT"": 0.05013635015035879}"
2024-03-31,14,0.0027339591361338366,0.0013190320558905588,-0.004052991192024395,"{""RELIANCE"": 0.12791270710671107, ""HDFCBANK"": 0.1793309479587465, ""ICICIBANK"": 0.09972301501756005, ""KOTAKBANK"": 0.08006226740377202, ""JSWSTEEL"": 0.031164989439574176, ""GRASIM"": 0.04478635601596648, ""HINDUNILVR"": 0.06017925801116658, ""ULTRACEMCO"": 0.0345919245740292, ""TATASTEEL"": 0.03809326443710972, ""SBIN"": 0.06241412790877096, ""TITAN"": 0.034388933307490675, ""WIPRO"": 0.05911664336152953, ""ASIANPAINT"": 0.0469456524952618, ""TCS"": 0.10128991296231116}"
2024-03-31,15,0.002549344411239682,0.00111279338475898,-0.003662137795998662,"{""RELIANCE"": 0.1260484146647781, ""HDFCBANK"": 0.16779992824133858, ""ICICIBANK"": 0.09081403494058883, ""KOTAKBANK"": 0.0726396315684153, ""JSWSTEEL"": 0.03151657340833512, ""GRASIM"": 0.03788597903978016, ""HINDUNILVR"": 0.0574274754748271, ""ULTRACEMCO"": 0.02569202478687096, ""TATASTEEL"": 0.030881459891297175, ""SBIN"": 0.05330322169479282, ""TITAN"": 0.029624332532376497, ""WIPRO"": 0.05648116303176384, ""ASIANPAINT"": 0.043618245355879874, ""TCS"": 0.09839597840475292, ""LT"": 0.07787153696420265}"
2024-03-31,16,0.002508562585634746,0.001244604166153742,-0.0037531667517884883,"{""RELIANCE"": 0.12521397551070396, ""HDFCBANK"": 0.16648838421660292, ""ICICIBANK"": 0.07555561583304432, ""KOTAKBANK"": 0.06846970034305634, ""JSWSTEEL"": 0.02945576491755494, ""GRASIM"": 0.03396323109701892, ""HINDUNILVR"": 0.05643176015505315, ""ULTRACEMCO"": 0.02653503572476435, ""TATASTEEL"": 0.03190369238178062, ""SBIN"": 0.048926533664208974, ""TITAN"": 0.028615424535091492, ""WIPRO"": 0.05602199624186545, ""ASIANPAINT"": 0.04317994078020347, ""TCS"": 0.09905434598053356, ""LT"": 0.07390527420435505, ""AXISBANK"": 0.03627932441416253}"
